@RELATION Classificator

@ATTRIBUTE Res[0] NUMERIC
@ATTRIBUTE Res[1] NUMERIC
@ATTRIBUTE Res[2] NUMERIC
@ATTRIBUTE Res[3] NUMERIC
@ATTRIBUTE Res[4] NUMERIC
@ATTRIBUTE Res[5] NUMERIC
@ATTRIBUTE Res[6] NUMERIC
@ATTRIBUTE ClassOutput NUMERIC

@DATA
94.48,4.79851668727,0.38195302843,0.541409147095,0.147095179234,0.59014084507,44.0388811744,1.0
104.956521739,4.85221674877,0.402709359606,0.541871921182,0.104679802956,0.582524271845,37.8962028774,1.0
101.333333333,4.72554347826,0.419384057971,0.51902173913,0.0788043478261,0.472931562819,50.2065333182,1.0
138.680851064,4.92258064516,0.370506912442,0.56866359447,0.120737327189,0.514112903226,65.0770681582,1.0
84.3559322034,4.61433447099,0.435722411832,0.51763367463,0.0932878270762,0.562992125984,53.0101060202,1.0
91.3396226415,4.54895104895,0.417249417249,0.52331002331,0.0710955710956,0.547144754316,49.1350225481,1.0
103.048387097,4.82086795937,0.401662049861,0.543859649123,0.0886426592798,0.547916666667,41.9921875,1.0
118.254901961,4.63878326996,0.429657794677,0.498098859316,0.0931558935361,0.522607781283,50.6633672453,1.0
166.2,4.67888307155,0.394415357766,0.52705061082,0.0907504363002,0.441947565543,68.3134845488,0.0
234.6,4.90737564322,0.344768439108,0.56089193825,0.073756432247,0.432188065099,65.7273003738,0.0
233.636363636,5.01909307876,0.324582338902,0.427207637232,0.0978520286396,0.448362720403,61.5447087413,0.0
255.071428571,4.66883116883,0.378246753247,0.517857142857,0.0584415584416,0.470288624788,50.5014109841,0.0
202.111111111,4.89438943894,0.377887788779,0.544554455446,0.0775577557756,0.494736842105,60.8802708526,0.0
236.285714286,4.86075949367,0.358047016275,0.564195298373,0.122965641953,0.45247148289,73.6601656812,0.0
186.166666667,4.79401408451,0.378521126761,0.542253521127,0.0792253521127,0.431519699812,72.3716863377,0.0
159.684210526,4.75337186898,0.387283236994,0.549132947977,0.0828516377649,0.497925311203,61.8963172122,0.0
103.357142857,4.50676982592,0.406189555126,0.504835589942,0.114119922631,0.450216450216,59.4066827833,0.0
138.666666667,4.63073394495,0.362385321101,0.550458715596,0.116972477064,0.501246882793,57.9598385582,0.0
178.1,4.85594639866,0.365159128978,0.556113902848,0.0753768844221,0.473967684022,52.9896953737,0.0
182.538461538,4.97698209719,0.360613810742,0.549872122762,0.0690537084399,0.510928961749,48.672698498,0.0
216.692307692,5.0548245614,0.331140350877,0.462719298246,0.100877192982,0.4896073903,72.7509347215,0.0
111.085714286,4.64697193501,0.413589364845,0.511078286558,0.109305760709,0.465460526316,55.3475588643,0.0
206.0,4.95577395577,0.363636363636,0.550368550369,0.111793611794,0.445893089961,64.9340715193,0.0
89.48,5.27714285714,0.345714285714,0.485714285714,0.182857142857,0.737541528239,36.8649352656,0.0
85.7666666667,5.01666666667,0.411904761905,0.447619047619,0.119047619048,0.689750692521,51.2580474367,0.0
63.8571428571,4.6170212766,0.417021276596,0.514893617021,0.106382978723,0.762886597938,47.2951429482,0.0
88.6842105263,4.83802816901,0.404929577465,0.538732394366,0.12323943662,0.662601626016,57.1749619935,0.0
64.7826086957,4.50185873606,0.42750929368,0.527881040892,0.130111524164,0.717488789238,47.8593979368,0.0
78.15625,4.81411764706,0.409411764706,0.541176470588,0.152941176471,0.674033149171,48.5333170538,0.0
64.8214285714,4.29289940828,0.48224852071,0.46449704142,0.0917159763314,0.63829787234,36.7184749258,0.0
64.2380952381,4.67372881356,0.406779661017,0.546610169492,0.127118644068,0.810256410256,36.8178829717,0.0
76.1363636364,4.78745644599,0.400696864111,0.536585365854,0.174216027875,0.709016393443,42.6632625638,0.0
78.3333333333,4.76696832579,0.39592760181,0.545248868778,0.108597285068,0.647214854111,46.1552533262,0.0
73.35,4.7628458498,0.407114624506,0.529644268775,0.126482213439,0.719626168224,43.6719364137,0.0
65.3225806452,4.53888888889,0.416666666667,0.536111111111,0.161111111111,0.66889632107,47.6504737083,0.0
70.9655172414,4.95614035088,0.409356725146,0.546783625731,0.108187134503,0.75,41.6584011109,0.0
70.1875,5.30113636364,0.318181818182,0.511363636364,0.221590909091,0.786206896552,29.4887039239,0.0
83.5384615385,4.64912280702,0.398245614035,0.521052631579,0.110526315789,0.613821138211,45.7730187058,0.0
